block,plot,precipitation,species,replicate,func_group,life_history,early_late,forb_grass,gdd,first_flower_mean,flower
1,1,50,BI,1,C4,perennial,late,grass,3624.85,263,61
1,1,50,CM,1,C3,annual,early,forb,3061.3,184,5
1,1,50,CS,1,C3,perennial,early,forb,796.85,139,1
1,1,50,ES,1,C3,annual,early,forb,796.85,133,12
1,1,50,SC,1,C4,perennial,late,grass,3662.55,290,11
1,1,50,SN,1,C4,perennial,late,grass,3061.3,263,5
1,1,50,SS,4,C4,perennial,late,grass,3416.85,262,5
2,10,-20,AP,5,C3,perennial,late,forb,4343.1,259,3
2,10,-20,BI,4,C4,perennial,late,grass,4622.45,200,147
2,10,-20,CF,1,C3,annual,early,forb,3672,201,3
2,10,-20,CM,1,C3,annual,early,forb,3672,194,6
2,10,-20,CS,1,C3,perennial,early,forb,1320.4,143,1
2,10,-20,DO,1,C3,perennial,early,grass,1320.4,142,1
2,10,-20,SE,3,C3,perennial,late,forb,4622.45,273,15
2,10,-20,SN,2,C4,perennial,late,grass,4156.75,273,3
2,10,-20,SS,2,C4,perennial,late,grass,4441.1,257,4
2,11,50,AP,3,C3,perennial,late,forb,1303.6,242,4
2,11,50,CF,1,C3,annual,early,forb,713,201,3
2,11,50,CS,1,C3,perennial,early,forb,136.05,143,6
2,11,50,DO,1,C3,perennial,early,grass,136.05,138,1
2,11,50,ES,1,C3,annual,early,forb,136.05,150,42
2,11,50,SC,5,C4,perennial,late,grass,1698,259,1
2,11,50,SE,5,C3,perennial,late,forb,2149.75,245,25
2,11,50,SN,3,C4,perennial,late,grass,1825.25,260,7
2,11,50,SS,3,C4,perennial,late,grass,1755.8,238,12
2,12,-60,AP,5,C3,perennial,late,forb,3227.4,238,7
2,12,-60,CF,4,C3,annual,early,forb,1985.2,201,2
2,12,-60,CS,2,C3,perennial,early,forb,1042.2,147,2
2,12,-60,DO,1,C3,perennial,early,grass,780.75,133,1
2,12,-60,ES,1,C3,annual,early,forb,1278.95,150,21
2,12,-60,SE,4,C3,perennial,late,forb,3822.95,297,20
2,12,-60,SN,3,C4,perennial,late,grass,3633.9,264,3
2,12,-60,SS,1,C4,perennial,late,grass,3822.95,262,3
2,13,0,CS,5,C3,perennial,early,forb,950.1,150,1
2,13,0,DO,5,C3,perennial,early,grass,950.1,139,2
2,13,0,ES,1,C3,annual,early,forb,950.1,136,76
2,13,0,SE,1,C3,perennial,late,forb,3395.4,283,18
2,13,0,SN,1,C4,perennial,late,grass,2961.05,266,2
2,13,0,SS,5,C4,perennial,late,grass,3184.95,264,2
2,14,-100,CS,2,C3,perennial,early,forb,935.15,143,2
2,14,-100,ES,1,C3,annual,early,forb,1420.9,145,34
2,14,-100,SE,5,C3,perennial,late,forb,4381.75,294,6
2,14,-100,SN,3,C4,perennial,late,grass,3679.85,266,1
2,14,-100,SS,2,C4,perennial,late,grass,3679.85,259,15
3,15,-80,AP,2,C3,perennial,late,forb,3314.45,276,1
3,15,-80,CM,4,C3,annual,early,forb,3166.3,178,9
3,15,-80,DO,1,C3,perennial,early,grass,722.5,133,2
3,15,-80,ES,1,C3,annual,early,forb,1015.8,147,24
3,15,-80,SE,4,C3,perennial,late,forb,3384.95,265,18
3,16,-100,CM,5,C3,annual,early,forb,3100.9,184,7
3,16,-100,CS,1,C3,perennial,early,forb,986.65,147,5
3,16,-100,DO,2,C3,perennial,early,grass,1124.9,158,1
3,16,-100,ES,1,C3,annual,early,forb,1224.35,143,16
3,16,-100,SE,5,C3,perennial,late,forb,4008.9,222,66
3,16,-100,SS,4,C4,perennial,late,grass,3721.45,273,1
3,17,0,AP,1,C3,perennial,late,forb,2815,249,2
3,17,0,CF,1,C3,annual,early,forb,2219.25,206,1
3,17,0,CM,4,C3,annual,early,forb,2595.35,195,7
3,17,0,CS,1,C3,perennial,early,forb,1327.6,133,15
3,17,0,DO,2,C3,perennial,early,grass,1046.05,134,2
3,17,0,ES,1,C3,annual,early,forb,998.5,133,14
3,17,0,SE,4,C3,perennial,late,forb,2833.85,284,13
3,17,0,SN,2,C4,perennial,late,grass,2833.85,266,4
3,17,0,SS,5,C4,perennial,late,grass,2746.75,263,9
3,18,-20,AP,1,C3,perennial,late,forb,3764.35,245,11
3,18,-20,CF,2,C3,annual,early,forb,3157.55,206,3
3,18,-20,CM,3,C3,annual,early,forb,3827.2,192,36
3,18,-20,CS,2,C3,perennial,early,forb,1199.95,154,9
3,18,-20,DO,1,C3,perennial,early,grass,847.6,135,1
3,18,-20,ES,1,C3,annual,early,forb,1079.05,133,77
3,18,-20,SE,1,C3,perennial,late,forb,4141.35,287,2
3,18,-20,SN,2,C4,perennial,late,grass,3827.2,263,4
3,18,-20,SS,5,C4,perennial,late,grass,4351.55,266,4
3,19,-60,CF,3,C3,annual,early,forb,2832.25,252,1
3,19,-60,CM,3,C3,annual,early,forb,2970.75,189,7
3,19,-60,CS,1,C3,perennial,early,forb,695.65,140,1
3,19,-60,DO,4,C3,perennial,early,grass,805.5,137,2
3,19,-60,ES,1,C3,annual,early,forb,869.3,134,45
3,19,-60,SE,2,C3,perennial,late,forb,3582.5,271,13
3,19,-60,SN,3,C4,perennial,late,grass,3356.6,269,2
3,19,-60,SS,5,C4,perennial,late,grass,3294,259,7
1,2,-20,AP,3,C3,perennial,late,forb,3534,252,3
1,2,-20,BI,2,C4,perennial,late,grass,3824.75,273,41
1,2,-20,CM,5,C3,annual,early,forb,3910.35,181,19
1,2,-20,CS,2,C3,perennial,early,forb,815.4,143,2
1,2,-20,DO,1,C3,perennial,early,grass,1192.5,158,1
1,2,-20,SE,4,C3,perennial,late,forb,3910.35,278,20
1,2,-20,SN,2,C4,perennial,late,grass,3824.75,271,3
1,2,-20,SS,5,C4,perennial,late,grass,4117.9,276,4
3,20,50,AP,2,C3,perennial,late,forb,3400,256,3
3,20,50,CF,1,C3,annual,early,forb,1847.55,217,3
3,20,50,CM,2,C3,annual,early,forb,3268.8,195,16
3,20,50,CS,2,C3,perennial,early,forb,1018.9,139,2
3,20,50,DO,1,C3,perennial,early,grass,947.1,140,2
3,20,50,ES,2,C3,annual,early,forb,1549.35,147,7
3,20,50,SC,2,C4,perennial,late,grass,3852.2,301,1
3,20,50,SE,1,C3,perennial,late,forb,3734.65,225,26
3,20,50,SN,2,C4,perennial,late,grass,3400,262,4
3,20,50,SS,5,C4,perennial,late,grass,3459.1,242,24
3,21,-40,AP,5,C3,perennial,late,forb,3126.4,238,1
3,21,-40,CF,3,C3,annual,early,forb,2230.4,203,1
3,21,-40,CM,3,C3,annual,early,forb,3593.7,175,24
3,21,-40,CS,3,C3,perennial,early,forb,1066.7,146,2
3,21,-40,DO,1,C3,perennial,early,grass,1017.3,133,3
3,21,-40,ES,3,C3,annual,early,forb,1219.2,136,50
3,21,-40,SE,1,C3,perennial,late,forb,4040.45,256,18
3,21,-40,SS,2,C4,perennial,late,grass,3961.9,280,1
1,3,-40,AP,2,C3,perennial,late,forb,3622.35,238,5
1,3,-40,BI,3,C4,perennial,late,grass,4159.3,259,31
1,3,-40,CM,1,C3,annual,early,forb,3319.15,196,6
1,3,-40,CS,4,C3,perennial,early,forb,1067.1,143,3
1,3,-40,DO,2,C3,perennial,early,grass,777.4,133,2
1,3,-40,ES,2,C3,annual,early,forb,1277.5,133,125
1,3,-40,SE,4,C3,perennial,late,forb,4315.5,237,45
1,3,-40,SS,5,C4,perennial,late,grass,3925.75,273,13
1,4,-60,AP,4,C3,perennial,late,forb,3559.6,236,21
1,4,-60,BI,1,C4,perennial,late,grass,3888.95,259,12
1,4,-60,CF,1,C3,annual,early,forb,2320.65,203,3
1,4,-60,CM,1,C3,annual,early,forb,3236.85,183,12
1,4,-60,DO,4,C3,perennial,early,grass,1032.95,133,2
1,4,-60,ES,1,C3,annual,early,forb,901.35,133,29
1,4,-60,SE,4,C3,perennial,late,forb,3738.4,181,47
1,4,-60,SN,3,C4,perennial,late,grass,3236.85,258,6
1,4,-60,SS,1,C4,perennial,late,grass,3888.95,248,5
1,5,0,AP,3,C3,perennial,late,forb,2509.85,238,1
1,5,0,CF,1,C3,annual,early,forb,1821.2,196,4
1,5,0,CM,2,C3,annual,early,forb,2658.4,186,8
1,5,0,DO,2,C3,perennial,early,grass,809.4,135,11
1,5,0,ES,1,C3,annual,early,forb,933.9,147,12
1,5,0,SE,3,C3,perennial,late,forb,3377,217,9
1,5,0,SN,5,C4,perennial,late,grass,3101.5,263,3
1,5,0,SS,4,C4,perennial,late,grass,3044.8,260,7
1,6,-100,AP,1,C3,perennial,late,forb,1054.2,267,6
1,6,-100,BI,1,C4,perennial,late,grass,1072.05,269,12
1,6,-100,CF,1,C3,annual,early,forb,1054.2,197,5
1,6,-100,CM,1,C3,annual,early,forb,1054.2,183,36
1,6,-100,CS,4,C3,perennial,early,forb,1054.2,133,17
1,6,-100,DO,1,C3,perennial,early,grass,789,133,3
1,6,-100,ES,1,C3,annual,early,forb,849.5,133,96
1,6,-100,SE,3,C3,perennial,late,forb,1072.05,178,22
1,6,-100,SS,5,C4,perennial,late,grass,1072.05,237,5
1,7,-80,CF,2,C3,annual,early,forb,1758.7,195,3
1,7,-80,CM,3,C3,annual,early,forb,2878.3,200,30
1,7,-80,DO,1,C3,perennial,early,grass,531.6,136,1
1,7,-80,SE,1,C3,perennial,late,forb,3373.55,290,3
1,7,-80,SS,2,C4,perennial,late,grass,3373.55,248,8
2,8,-40,AP,5,C3,perennial,late,forb,3462,256,2
2,8,-40,BI,1,C4,perennial,late,grass,3756.05,266,49
2,8,-40,CF,3,C3,annual,early,forb,1896.1,199,2
2,8,-40,CM,5,C3,annual,early,forb,3311.1,186,5
2,8,-40,CS,4,C3,perennial,early,forb,976.1,149,2
2,8,-40,DO,3,C3,perennial,early,grass,1103.3,138,3
2,8,-40,ES,3,C3,annual,early,forb,1179.9,134,19
2,8,-40,SE,4,C3,perennial,late,forb,3756.05,281,52
2,8,-40,SS,4,C4,perennial,late,grass,3989.15,262,19
2,9,-80,CF,2,C3,annual,early,forb,2457.55,199,2
2,9,-80,CM,2,C3,annual,early,forb,2457.55,186,6
2,9,-80,DO,1,C3,perennial,early,grass,702.6,140,1
2,9,-80,ES,1,C3,annual,early,forb,861.3,136,6
2,9,-80,SE,2,C3,perennial,late,forb,2606.55,234,6
2,9,-80,SN,1,C4,perennial,late,grass,2457.55,269,1
2,9,-80,SS,3,C4,perennial,late,grass,2457.55,262,4
