block,plot,precipitation,species,replicate,func_group,duration,early_late,forb_grass,first_flower_mean,origin,viable,total_seeds_sum,proportion_viable
1,1,50,CM,1,C3,annual,early,forb,184,xray,1,1,1
1,1,50,ES,1,C3,annual,early,forb,133,tz,27,49,0.551020408
1,1,50,SN,5,C4,perennial,late,grass,263,xray,117,214,0.546728972
1,2,-20,AP,3,C3,perennial,late,forb,252,xray,1,3,0.333333333
1,2,-20,BI,2,C4,perennial,late,grass,273,xray,33,60,0.55
1,2,-20,CM,1,C3,annual,early,forb,181,xray,1,1,1
1,2,-20,CM,2,C3,annual,early,forb,181,xray,1,2,0.5
1,2,-20,CM,3,C3,annual,early,forb,181,xray,4,4,1
1,2,-20,CM,4,C3,annual,early,forb,181,xray,3,6,0.5
1,2,-20,CM,5,C3,annual,early,forb,181,xray,3,3,1
1,2,-20,SN,5,C4,perennial,late,grass,271,xray,71,93,0.76344086
1,2,-20,SS,5,C4,perennial,late,grass,276,xray,28,73,0.383561644
1,3,-40,AP,2,C3,perennial,late,forb,238,xray,3,3,1
1,3,-40,AP,3,C3,perennial,late,forb,238,xray,2,2,1
1,3,-40,BI,1,C4,perennial,late,grass,259,xray,15,126,0.119047619
1,3,-40,BI,3,C4,perennial,late,grass,259,xray,102,275,0.370909091
1,3,-40,BI,4,C4,perennial,late,grass,259,xray,5,22,0.227272727
1,3,-40,CM,1,C3,annual,early,forb,196,xray,0,1,0
1,3,-40,CM,2,C3,annual,early,forb,196,xray,1,1,1
1,3,-40,CM,4,C3,annual,early,forb,196,xray,0,1,0
1,3,-40,CS,1,C3,perennial,early,forb,143,xray,43,66,0.651515152
1,3,-40,CS,3,C3,perennial,early,forb,143,xray,50,91,0.549450549
1,3,-40,CS,4,C3,perennial,early,forb,143,xray,109,263,0.414448669
1,3,-40,CS,5,C3,perennial,early,forb,143,xray,21,63,0.333333333
1,3,-40,DO,5,C3,perennial,early,grass,133,tz,3,4,0.75
1,3,-40,SS,1,C4,perennial,late,grass,273,xray,8,13,0.615384615
1,4,-60,AP,2,C3,perennial,late,forb,236,xray,4,7,0.571428571
1,4,-60,AP,4,C3,perennial,late,forb,236,xray,2,14,0.142857143
1,4,-60,BI,1,C4,perennial,late,grass,259,xray,8,38,0.210526316
1,4,-60,CM,1,C3,annual,early,forb,183,xray,4,9,0.444444444
1,4,-60,CM,2,C3,annual,early,forb,183,xray,3,4,0.75
1,4,-60,CM,3,C3,annual,early,forb,183,xray,1,2,0.5
1,4,-60,CM,4,C3,annual,early,forb,183,xray,5,9,0.555555556
1,4,-60,CM,5,C3,annual,early,forb,183,xray,0,7,0
1,4,-60,DO,1,C3,perennial,early,grass,133,tz,3,5,0.6
1,4,-60,DO,5,C3,perennial,early,grass,133,tz,10,20,0.5
1,4,-60,SN,1,C4,perennial,late,grass,258,xray,512,627,0.816586922
1,4,-60,SN,4,C4,perennial,late,grass,258,xray,5,49,0.102040816
1,4,-60,SS,1,C4,perennial,late,grass,248,xray,65,150,0.433333333
1,4,-60,SS,2,C4,perennial,late,grass,248,xray,55,172,0.319767442
1,4,-60,SS,3,C4,perennial,late,grass,248,xray,18,75,0.24
1,4,-60,SS,4,C4,perennial,late,grass,248,xray,21,32,0.65625
1,5,0,AP,3,C3,perennial,late,forb,238,xray,1,1,1
1,5,0,CF,1,C3,annual,early,forb,196,xray,0,10,0
1,5,0,CF,2,C3,annual,early,forb,196,xray,17,46,0.369565217
1,5,0,CF,3,C3,annual,early,forb,196,xray,13,32,0.40625
1,5,0,CF,4,C3,annual,early,forb,196,xray,3,16,0.1875
1,5,0,CF,5,C3,annual,early,forb,196,xray,25,49,0.510204082
1,5,0,CM,1,C3,annual,early,forb,186,xray,0,2,0
1,5,0,CM,2,C3,annual,early,forb,186,xray,1,3,0.333333333
1,5,0,CM,3,C3,annual,early,forb,186,xray,0,3,0
1,5,0,CM,4,C3,annual,early,forb,186,xray,2,2,1
1,5,0,CM,5,C3,annual,early,forb,186,xray,0,2,0
1,5,0,DO,2,C3,perennial,early,grass,135,tz,1,3,0.333333333
1,5,0,DO,3,C3,perennial,early,grass,135,tz,0,2,0
1,5,0,SN,1,C4,perennial,late,grass,263,xray,385,473,0.813953488
1,5,0,SN,4,C4,perennial,late,grass,263,xray,192,246,0.780487805
1,5,0,SN,5,C4,perennial,late,grass,263,xray,35,53,0.660377358
1,5,0,SS,1,C4,perennial,late,grass,260,xray,11,39,0.282051282
1,5,0,SS,2,C4,perennial,late,grass,260,xray,22,73,0.301369863
1,5,0,SS,3,C4,perennial,late,grass,260,xray,24,121,0.198347107
1,5,0,SS,4,C4,perennial,late,grass,260,xray,46,117,0.393162393
1,5,0,SS,5,C4,perennial,late,grass,260,xray,51,170,0.3
1,6,-100,CF,1,C3,annual,early,forb,197,xray,12,16,0.75
1,6,-100,CF,3,C3,annual,early,forb,197,xray,14,27,0.518518519
1,6,-100,CF,4,C3,annual,early,forb,197,xray,20,43,0.465116279
1,6,-100,CF,5,C3,annual,early,forb,197,xray,0,21,0
1,6,-100,CM,1,C3,annual,early,forb,183,xray,3,8,0.375
1,6,-100,CM,4,C3,annual,early,forb,183,xray,1,1,1
1,6,-100,CM,5,C3,annual,early,forb,183,xray,2,4,0.5
1,6,-100,CS,1,C3,perennial,early,forb,133,xray,131,664,0.197289157
1,6,-100,CS,2,C3,perennial,early,forb,133,xray,87,229,0.379912664
1,6,-100,CS,3,C3,perennial,early,forb,133,xray,13,125,0.104
1,6,-100,CS,4,C3,perennial,early,forb,133,xray,58,307,0.188925081
1,6,-100,CS,5,C3,perennial,early,forb,133,xray,177,251,0.705179283
1,6,-100,DO,1,C3,perennial,early,grass,133,tz,2,8,0.25
1,6,-100,SS,2,C4,perennial,late,grass,237,xray,18,35,0.514285714
1,6,-100,SS,5,C4,perennial,late,grass,237,xray,66,258,0.255813953
1,7,-80,CF,2,C3,annual,early,forb,195,xray,2,14,0.142857143
1,7,-80,CF,3,C3,annual,early,forb,195,xray,20,36,0.555555556
1,7,-80,CM,1,C3,annual,early,forb,200,xray,3,11,0.272727273
1,7,-80,CM,2,C3,annual,early,forb,200,xray,1,2,0.5
1,7,-80,CM,3,C3,annual,early,forb,200,xray,0,1,0
1,7,-80,CM,4,C3,annual,early,forb,200,xray,3,6,0.5
1,7,-80,DO,4,C3,perennial,early,grass,136,tz,4,9,0.444444444
1,7,-80,SS,1,C4,perennial,late,grass,248,xray,12,23,0.52173913
1,7,-80,SS,5,C4,perennial,late,grass,248,xray,3,3,1
